Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename,Time Since Announced,Month,Classification
OnePercent.IO,https://www.crunchbase.com/organization/onepercent-io,Seed Round - OnePercent.IO,https://www.crunchbase.com/funding_round/onepercent-io-seed--3bd3c5a5,500000.0,USD,500000.0,Seed,"Blockchain, Consulting, Information Services, Information Technology",2022-12-20,Moonshots Capital,"Continuum Holding, Moonshots Capital",Seed,500000.0,USD,500000.0,,,,Yes,OnePercent.IO creates customized business and technology solutions by developing blockchain products.,,onepercent.io,,Seed,1,"Novo Hamburgo, Rio Grande do Sul, Brazil, South America",2022,onepercent.io,6099.0,onepercent.ioblockchainsoftwareinnovationstudio,onepercent.io,Cadastro Startup,618,12,Pendente Classificação
88i Seguradora Digital S.A.,https://www.crunchbase.com/organization/88i,Grant - 88i Seguradora Digital S.A.,https://www.crunchbase.com/funding_round/88i-grant--87fad287,2640069.0,USD,2640069.0,Grant,"Auto Insurance, Blockchain, Commercial Insurance, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Life Insurance, Property Insurance",2022-12-20,The Hashgraph Association,The Hashgraph Association,,250000.0,USD,250000.0,,,,No,88i - 1st Digital Insurer focused on Massive Digital Ecosystems (Approved by SUSEP Brazil insurance regulator) offers Embedded Insurance,,88iseguradora.digital,$1M to $10M,Seed,7,"São Paulo, Sao Paulo, Brazil, South America",2022,88iseguradoradigitals.a.,,,,Nao tivemos acesso,618,12,Pendente Classificação
Wizzi,https://www.crunchbase.com/organization/wizzi-turismo-inteligente,Pre Seed Round - Wizzi,https://www.crunchbase.com/funding_round/wizzi-turismo-inteligente-pre-seed--49c0df17,100000.0,USD,100000.0,Pre-Seed,"Artificial Intelligence (AI), Leisure, Tourism, Travel",2022-12-20,,,Seed,100000.0,USD,100000.0,,,,Yes,"Wizzi is innovating the travel planning landscape with AI-driven personalization, making dream vacations a reality in just a few clicks.",,wizzi.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,wizzi,,,,Nao tivemos acesso,618,12,Nao tivemos acesso
Spotlar,https://www.crunchbase.com/organization/spotlar,Seed Round - Spotlar,https://www.crunchbase.com/funding_round/spotlar-seed--51bb5229,8200000.0,BRL,1604909.0,Seed,"Construction, Real Estate",2022-12-20,Terracotta Ventures,"Bossanova Investimentos, Terracotta Ventures, TM3 Capital",Seed,6000000.0,BRL,1153868.0,,,,Yes,Spotlar transforms properties into spaces for the interior industry.,,spotlar.com.br,$1M to $10M,Seed,3,"Florianópolis, Santa Catarina, Brazil, South America",2022,spotlar,20768.0,splotar,spotlar.com.br,Discard,618,12,Pendente Classificação
Rufy Digital,https://www.crunchbase.com/organization/rufy-digital,Angel Round - Rufy Digital,https://www.crunchbase.com/funding_round/rufy-digital-angel--c5fbb253,1500000.0,BRL,288467.0,Angel,"Financial Exchanges, Financial Services, Software",2022-12-20,,,Seed,1500000.0,BRL,288467.0,,,,Yes,Rufy Digital offers software developing and financial services and consulting for individuals and organizations.,,rufy.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,rufydigital,22845.0,rufy,rufy.com.br,Opportunity,618,12,Em análise
Jusfy,https://www.crunchbase.com/organization/jusfy,Seed Round - Jusfy,https://www.crunchbase.com/funding_round/jusfy-seed--ce1f414e,1300000.0,USD,1300000.0,Seed,"Consulting, IT Management, Legal",2022-12-20,SaaSholic,"Alexandre Dubugras, Citrino Gestão de Recursos, Daniel Arbix, Harvard Business School Alumni Angels of Brazil, Joao Costa, Mergus Ventures, Norte Ventures, SaaSholic, Victor Lazarte",Seed,1300000.0,USD,1300000.0,,,,Yes,Jusfy offers legal services and consulting for individuals and business organizations.,,jusfy.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,jusfy,20233.0,jusfy,jusfy.com.br,Discard,618,12,Indefinido
Aprova Digital,https://www.crunchbase.com/organization/aprova-digital,Seed Round - Aprova Digital,https://www.crunchbase.com/funding_round/aprova-digital-seed--8bcb2294,4800000.0,USD,4800000.0,Seed,"CivicTech, GovTech, Information Technology, Software",2022-12-20,"Astella, Vox Capital","Astella, CAF, Endeavor ScaleUp Growth Program, Scale-Up Ventures, Vox Capital",Seed,4000000.0,USD,4000000.0,,,,Yes,"Aprova Digital is LATAM's leading Govtech, enabling digital transformation for local governments.",,aprova.com.br,$1M to $10M,Seed,2,"Cascavel, Sao Paulo, Brazil, South America",2022,aprovadigital,4476.0,aprovadigital,aprovadigital.com.br,Discard,618,12,Pendente Classificação
Kultua,https://www.crunchbase.com/organization/kultua,Pre Seed Round - Kultua,https://www.crunchbase.com/funding_round/kultua-pre-seed--e47bb2dd,745000.0,BRL,143233.0,Pre-Seed,"Analytics, Human Resources",2022-12-21,,"FEA Angels, JCI Ventures, JUPTER, Sororitê, WIM Angels",Seed,745000.0,BRL,143233.0,,,,Yes,"Peopletech especializada em Diagnósticos de Cultura personalizados, Gestão de Rituais & People Analytics.",,kultua.com,Less than $1M,Seed,1,"Rio, Rio de Janeiro, Brazil, South America",2022,kultua,20908.0,kultua,kultua.com,Discard,617,12,Indefinido
ATMosfera Ventures,https://www.crunchbase.com/organization/atmosfera-ventures,Angel Round - ATMosfera Ventures,https://www.crunchbase.com/funding_round/atmosfera-ventures-angel--f7529299,,USD,,Angel,,2022-12-21,,Rafael Santos,Seed,,,,,,,Yes,Corporate Venture Builder - partnership between FCJ and Tecban,,atmosferaventures.com,,Seed,1,"Vila Olímpia, Sao Paulo, Brazil, South America",2022,atmosferaventures,,,,Nao tivemos acesso,617,12,Nao tivemos acesso
Solum Group,https://www.crunchbase.com/organization/solum-group,Seed Round - Solum Group,https://www.crunchbase.com/funding_round/solum-group-seed--846c2026,250000.0,USD,250000.0,Seed,Financial Services,2022-12-21,,Newchip Accelerator,Seed,250000.0,USD,250000.0,,,,Yes,Solum Group brings together different businesses by connecting emerging companies to investors.,,gruposolum.com.br,,Seed,1,"Ipanema, Rio de Janeiro, Brazil, South America",2022,solumgroup,,,,Nao tivemos acesso,617,12,Nao tivemos acesso
Verzani & Sandrini,https://www.crunchbase.com/organization/verzani-sandrini,Private Equity Round - Verzani & Sandrini,https://www.crunchbase.com/funding_round/verzani-sandrini-private-equity--bddf81f1,150000000.0,BRL,29029261.0,Private Equity,"Asset Management, Facilities Support Services, Janitorial Service",2022-12-22,Siguler Guff & Company,Siguler Guff & Company,Private Equity,150000000.0,BRL,29029261.0,,,,Yes,"Verzani & Sandrini is a facilities services company that offers safety, sanitation, asset management, janitorial and integrated services.",,verzani.com.br,$50M to $100M,Private Equity,1,"São Paulo, Sao Paulo, Brazil, South America",2022,verzani&sandrini,,,,Nao tivemos acesso,616,12,Nao tivemos acesso
Estoca,https://www.crunchbase.com/organization/estoca,Venture Round - Estoca,https://www.crunchbase.com/funding_round/estoca-series-unknown--bcac4c0b,9950851.0,USD,9950851.0,Venture - Series Unknown,"E-Commerce, Logistics, SaaS",2022-12-22,,,,2619996.0,USD,2619996.0,,,,Yes,"Estoca allows multi-channel businesses to deliver goods in less than 2 days in the main Brazilian cities, with hassle-free setup.",,estoca.com.br,,,6,"São Paulo, Sao Paulo, Brazil, South America",2022,estoca,10348.0,estoca,estoca.com.br,Discard,616,12,Nao tivemos acesso
