Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename,Time Since Announced,Month,Classification
Cashfly,https://www.crunchbase.com/organization/cashfly,Non Equity Assistance - Cashfly,https://www.crunchbase.com/funding_round/cashfly-non-equity-assistance--c3ff5980,63000.0,USD,63000.0,Non-equity Assistance,"Finance, Financial Services, FinTech",2018-03-27,,,,63000.0,USD,63000.0,,,,No,Cashfly is a financial intelligence platform that seeks to improve the relationships.,,cashfly.co,,,1,"São Paulo, Sao Paulo, Brazil, South America",2018,cashfly,4110.0,cashfly,landing.cashfly.com.br,Fazer Teste de Aderência,2347,3,Nao tivemos acesso
ONLi Seguros,https://www.crunchbase.com/organization/onli-life-insurance,Non Equity Assistance - ONLi Seguros,https://www.crunchbase.com/funding_round/onli-life-insurance-non-equity-assistance--13d3563b,63000.0,USD,63000.0,Non-equity Assistance,"Financial Services, Insurance, InsurTech, Life Insurance",2018-03-27,,,,63000.0,USD,63000.0,,,,No,ONLi Seguros is an insurtech company that develops digital insurance distribution projects for insurers and affinity partners.,,onli.com.br,$1M to $10M,,1,"Curitiba, Parana, Brazil, South America",2018,onliseguros,1142.0,onli,onli.com.br,Discard,2347,3,Indefinido
Supermenu,https://www.crunchbase.com/organization/supermenu,Pre Seed Round - Supermenu,https://www.crunchbase.com/funding_round/supermenu-pre-seed--571a6219,,USD,,Pre-Seed,"Delivery, Delivery Service, Internet, Restaurants, Software",2018-03-30,,Bossanova Investimentos,Seed,,,,,,,Yes,"Supermenu is a website and sales application for restaurants, snack bar, sushi bar, and pizzeria with delivery services.",,supermenu.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2018,supermenu,10800.0,supermenu,restaurantedofuturo.com.br,Discard,2344,3,Pendente Classificação
Liv Up,https://www.crunchbase.com/organization/liv-up,Non Equity Assistance - Liv Up,https://www.crunchbase.com/funding_round/liv-up-non-equity-assistance--6a458551,88511253.0,USD,88511253.0,Non-equity Assistance,"Food and Beverage, Food Delivery, Grocery, Organic Food, Restaurants",2018-04-01,Google for Startups,Google for Startups,,,,,,,,No,Liv Up is a direct to consumer healthy foodtech brand based in Brazil.,,livup.com.br,$50M to $100M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2018,livup,1871.0,livup,livup.com.br,Discard,2342,4,Falso Negativo
Liv Up,https://www.crunchbase.com/organization/liv-up,Non Equity Assistance - Liv Up,https://www.crunchbase.com/funding_round/liv-up-non-equity-assistance--6a458551,88511253.0,USD,88511253.0,Non-equity Assistance,"Food and Beverage, Food Delivery, Grocery, Organic Food, Restaurants",2018-04-01,Google for Startups,Google for Startups,,,,,,,,No,Liv Up is a direct to consumer healthy foodtech brand based in Brazil.,,livup.com.br,$50M to $100M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2018,livup,17458.0,livup,,Registered,2342,4,Falso Negativo
Liber Educação,https://www.crunchbase.com/organization/liber-educação,Angel Round - Liber Educação,https://www.crunchbase.com/funding_round/liber-educação-angel--9139aa20,1158000.0,BRL,287303.0,Angel,"B2C, EdTech, Education, Tutoring",2018-04-01,,,Seed,40000.0,BRL,12108.0,2960000.0,BRL,896020.0,Yes,After-school online tutoring and learning programs for kids.,,liberedu.com.br,,Seed,3,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2018,libereducação,10436.0,libereducação,liberedu.com.br,Discard,2342,4,Indefinido
Donamaid,https://www.crunchbase.com/organization/donamaid,Pre Seed Round - Donamaid,https://www.crunchbase.com/funding_round/donamaid-pre-seed--b8de87b0,426000.0,BRL,130458.0,Pre-Seed,"Home Services, Marketplace, Professional Services, Software, Web Apps",2018-04-01,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,45406.0,,,,Yes,Donamaid is a booking platform for home and office professional cleaners.,,donamaid.com,Less than $1M,Seed,5,"Pelotas, Rio Grande do Sul, Brazil, South America",2018,donamaid,1314.0,donamaid,donamaid.com,Discard,2342,4,Indefinido
JetBov,https://www.crunchbase.com/organization/jetbov,Non Equity Assistance - JetBov,https://www.crunchbase.com/funding_round/jetbov-non-equity-assistance--be9a13c6,1622300.0,USD,1622300.0,Non-equity Assistance,"Agriculture, AgTech, Livestock, SaaS, Software",2018-04-01,Google for Startups,Google for Startups,,,,,,,,No,JetBov develops livestock and farm management software for the agriculture industry.,,jetbov.com,Less than $1M,Seed,4,"Santa Catarina, Sao Paulo, Brazil, South America",2018,jetbov,1377.0,jetbov,jetbov.com,Discard,2342,4,Pendente Classificação
Contentools,https://www.crunchbase.com/organization/contentools,Non Equity Assistance - Contentools,https://www.crunchbase.com/funding_round/contentools-non-equity-assistance--42dab341,300000.0,USD,300000.0,Non-equity Assistance,"Analytics, Content Discovery, Content Marketing, Marketing Automation, SaaS, Social Media Management, Software",2018-04-01,Google for Startups,Google for Startups,,,,,,,,No,"Contentools develops a content marketing software for businesses that look for website traffic, leads and clients conversion.",,contentools.com,$1M to $10M,Seed,4,"Florianópolis, Santa Catarina, Brazil, South America",2018,contentools,1488.0,contentools,contentools.com.br,Discard,2342,4,Indefinido
ConstruCode,https://www.crunchbase.com/organization/construcode,Angel Round - ConstruCode,https://www.crunchbase.com/funding_round/construcode-angel--e3dcf600,40000.0,USD,40000.0,Angel,"Civil Engineering, Project Management, Software",2018-04-01,,Anjos do Brasil,Seed,40000.0,USD,40000.0,420000.0,USD,420000.0,Yes,"ConstruCode is a construction project management software  that converts your plants into labels, accessible by mobile phones and tablets.",,construcode.com.br/index.html,,Seed,1,"Salvador, Sao Paulo, Brazil, South America",2018,construcode,2657.0,construcode,construcode.com.br,Cadastro Startup,2342,4,Pendente Classificação
AoCubo,https://www.crunchbase.com/organization/loopimóveis-com,Pre Seed Round - AoCubo,https://www.crunchbase.com/funding_round/loopimóveis-com-pre-seed--45b20b6a,8700000.0,BRL,1885446.0,Pre-Seed,"Internet, Real Estate",2018-04-01,Kria,"Kria, Luiz Eduardo Perna, Renan Constantino",Seed,1500000.0,BRL,454064.0,,,,Yes,The new development brokerage of independent agents.,,aocubo.com,Less than $1M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2018,aocubo,232.0,aocubo,aocubo.com,Discard,2342,4,Dúvida
Super Revendedores,https://www.crunchbase.com/organization/super-revendedores,Angel Round - Super Revendedores,https://www.crunchbase.com/funding_round/super-revendedores-angel--c417048a,20000.0,USD,20000.0,Angel,"E-Commerce, Marketing, Retail, Retail Technology, Sales, Software",2018-04-01,,Anjos do Brasil,Seed,20000.0,USD,20000.0,1670000.0,USD,1670000.0,Yes,Super Revendedores is the best business partner in direct selling.,,superrevendedores.com.br,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2018,superrevendedores,567.0,superrevendedores,superrevendedores.com.br,Discard,2342,4,Pendente Classificação
Hand Talk,https://www.crunchbase.com/organization/hand-talk,Non Equity Assistance - Hand Talk,https://www.crunchbase.com/funding_round/hand-talk-non-equity-assistance--68f8b648,770000.0,USD,770000.0,Non-equity Assistance,"Apps, Education, Natural Language Processing, Software, Translation Service",2018-04-01,Google for Startups,Google for Startups,,,,,,,,No,Hand Talk is a mobile translator for smartphones and tablets which converts in real time content in port.,,handtalk.me,$10M to $50M,Seed,4,"Maceió, Alagoas, Brazil, South America",2018,handtalk,178.0,handtalk,handtalk.me,Discard,2342,4,Indefinido
Boomit,https://www.crunchbase.com/organization/boomit,Pre Seed Round - Boomit,https://www.crunchbase.com/funding_round/boomit-pre-seed--c7f41c60,,USD,,Pre-Seed,"Communities, Internet, Internet of Things",2018-04-01,,B Venture Capital,Seed,,,,,,,Yes,Boomit is a Business Consulting and Services Management.,,boomit.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2018,boomit,2160.0,boomit,boomit.com.br,Discard,2342,4,Pendente Classificação
Yellow,https://www.crunchbase.com/organization/yellow-d7ae,Seed Round - Yellow,https://www.crunchbase.com/funding_round/yellow-d7ae-seed--e7fa34e4,125300000.0,USD,125300000.0,Seed,"Last Mile Transportation, Public Transportation, Ride Sharing, Transportation",2018-04-04,"Grishin Robotics, monashees","Greyhound Capital, Grishin Robotics, monashees",Seed,9000000.0,USD,9000000.0,,,,Yes,Yellow is an online micro-mobility platform that offers bike and e-scooter sharing services.,,yellow.app,$1M to $10M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America",2018,yellow,2049.0,yellow,yellow.breezy.hr,Discard,2339,4,Verdadeiro negativo
Xvision Tecnologia,https://www.crunchbase.com/organization/xvision-tecnologia,Seed Round - Xvision Tecnologia,https://www.crunchbase.com/funding_round/xvision-tecnologia-seed--55f2a938,1500000.0,BRL,450559.0,Seed,"Information Technology, SaaS, Software, Web Development",2018-04-04,Cedro Capital,Cedro Capital,Seed,1500000.0,BRL,450558.0,,,,Yes,"SaaS, Omnichannel, BOT",,xvisiontecnologia.com.br,,Seed,1,"Goiânia, Goias, Brazil, South America",2018,xvisiontecnologia,,,,Nao tivemos acesso,2339,4,Nao tivemos acesso
Reviewr | Customer Review Intelligence,https://www.crunchbase.com/organization/reviewr,Pre Seed Round - Reviewr | Customer Review Intelligence,https://www.crunchbase.com/funding_round/reviewr-pre-seed--c06e1106,250000.0,USD,250000.0,Pre-Seed,"Big Data, Information Services, Information Technology, Intelligent Systems, Product Research, SaaS, Software",2018-04-05,,,Seed,100000.0,USD,100000.0,890000.0,USD,890000.0,Yes,SaaS - Online Reviews Management Plattform and Big Data company focus on online reputation data for companies.,,reviewr.me,,Seed,3,"Florianópolis, Santa Catarina, Brazil, South America",2018,reviewr|customerreviewintelligence,,,,Nao tivemos acesso,2338,4,Nao tivemos acesso
Shipp,https://www.crunchbase.com/organization/shipp,Seed Round - Shipp,https://www.crunchbase.com/funding_round/shipp-seed--f8ff271b,5064000.0,BRL,1440948.0,Seed,"Apps, Delivery, Logistics, Retail",2018-04-05,,APEX Partners,Seed,2000000.0,BRL,597946.0,,,,Yes,Shipp is a digital application platform for the delivery and operating logistics.,,shipp.delivery,$1M to $10M,M&A,4,"Victoria, Espirito Santo, Brazil, South America",2018,shipp,3399.0,shippdelivery,shipp.delivery,Discard,2338,4,Indefinido
Sensorweb,https://www.crunchbase.com/organization/sensorweb,Series A - Sensorweb,https://www.crunchbase.com/funding_round/sensorweb-series-a--4efe122e,,USD,,Series A,"Computer, CRM, Health Care, Information Technology, Software, Wearables",2018-04-05,,CVENTURES,Early Stage Venture,,,,,,,Yes,Sensorweb develops solutions in Internet of Things with expertise in the area of ​​health.,,sensorweb.com.br,$1M to $10M,Early Stage Venture,1,"Florianópolis, Santa Catarina, Brazil, South America",2018,sensorweb,601.0,sensorweb,,Cadastro Startup,2338,4,Pendente Classificação
Getrak,https://www.crunchbase.com/organization/getrak,Seed Round - Getrak,https://www.crunchbase.com/funding_round/getrak-seed--99fe27ae,,USD,,Seed,"Information Services, Information Technology, Software",2018-04-05,Cedro Capital,Cedro Capital,Seed,,,,,,,Yes,"Getrak provides Software, Big Data and Infrastruture solutions for TELEMATIC and IoT market",,getrak.com.br,,M&A,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2018,getrak,17705.0,getrak,getrak.com,Discard,2338,4,Pendente Classificação
Sanar,https://www.crunchbase.com/organization/editora-sanar,Series A - Sanar,https://www.crunchbase.com/funding_round/editora-sanar-series-a--58c2c79e,11500000.0,USD,11500000.0,Series A,"Health Care, Higher Education, Medical, Publishing",2018-04-06,"Igah Ventures, Vox Capital","Igah Ventures, Vox Capital",Early Stage Venture,,,,,,,Yes,"Sanar is a platform that focuses on being the doctor's guide and support, offering specialized content that helps in their development.",,sanarmed.com/sobre,,Early Stage Venture,4,"Salvador, Sao Paulo, Brazil, South America",2018,sanar,17474.0,sanar,,Registered,2337,4,Nao tivemos acesso
Reclame Aqui,https://www.crunchbase.com/organization/reclame-aqui,Series A - Reclame Aqui,https://www.crunchbase.com/funding_round/reclame-aqui-series-a--5dc87ff8,,USD,,Series A,"Advertising, Consumer, Customer Service, Internet, Internet of Things",2018-04-06,DGF Investimentos,"Bossanova Investimentos, DGF Investimentos",Early Stage Venture,,,,,,,Yes,Reclame Aqui is a website that enables its users to post complaints about products and services offered by various companies.,,reclameaqui.com.br,$10M to $50M,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2018,reclameaqui,16424.0,reclameaqui,reclameaqui.com.br,Registered,2337,4,Nao tivemos acesso
Milênio Bus,https://www.crunchbase.com/organization/milênio-bus,Pre Seed Round - Milênio Bus,https://www.crunchbase.com/funding_round/milênio-bus-pre-seed--6cd387ef,,USD,,Pre-Seed,"Artificial Intelligence (AI), Computer Vision, Internet of Things, Public Transportation, Software",2018-04-07,"BMG UpTech, Bossanova Investimentos","BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,"Milênio Bus integrates a hardware, application, and software capable of knowing the stocking in buses, in real time.",,mileniobus.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2018,milêniobus,9557.0,milêniobus,mileniobus.com.br,Discard,2336,4,Pendente Classificação
Audo,https://www.crunchbase.com/organization/audo,Pre Seed Round - Audo,https://www.crunchbase.com/funding_round/audo-pre-seed--16a2b9f0,30000.0,USD,30000.0,Pre-Seed,,2018-04-11,VENTIUR,VENTIUR,Seed,30000.0,USD,30000.0,,,,Yes,Audo develops and markets diagnostic imaging solution.,,audo.com.br,,Seed,1,"Fortaleza, Mato Grosso do Sul, Brazil, South America",2018,audo,,,,Nao tivemos acesso,2332,4,Nao tivemos acesso
Magnetis,https://www.crunchbase.com/organization/magnetis,Series A - Magnetis,https://www.crunchbase.com/funding_round/magnetis-series-a--d6bdbcd0,17400000.0,USD,17400000.0,Series A,"Advice, Financial Services, FinTech, Software",2018-04-11,,"monashees, Redpoint eventures, VEF",Early Stage Venture,5400000.0,USD,5400000.0,,,,Yes,Magnetis offers digital solutions for individuals to build long-term investment plans.,,magnetis.com.br,,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America",2018,magnetis,599.0,magnetis,,Discard,2332,4,Dúvida
Gupy,https://www.crunchbase.com/organization/gupy,Series A - Gupy,https://www.crunchbase.com/funding_round/gupy-series-a--13ef79e8,104557814.0,USD,104557814.0,Series A,"Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting, Software",2018-04-12,Valor Capital Group,"Canary, MAYA Capital, Valor Capital Group",Early Stage Venture,3500000.0,USD,3500000.0,,,,Yes,"Gupy is a technology company that offers recruitment, selection, and admission solutions for HR.",,gupy.io,$50M to $100M,Early Stage Venture,6,"São Paulo, Sao Paulo, Brazil, South America",2018,gupy,13513.0,guppy,gupy.io,Discard,2331,4,Nao tivemos acesso
Resolvvi,https://www.crunchbase.com/organization/resolvvi,Pre Seed Round - Resolvvi,https://www.crunchbase.com/funding_round/resolvvi-pre-seed--41dd4cbd,1250000.0,BRL,311465.0,Pre-Seed,"Advice, B2C, Consulting, Legal, Legal Tech, Logistics",2018-04-14,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,43825.0,1725000.0,BRL,503988.0,Yes,"Resolvvi helps flight passengers receive compensations for flight delays, cancellations, missed connections, and overbookings.",,resolvvi.com,Less than $1M,,3,"Ceará, Ceara, Brazil, South America",2018,resolvvi,1162.0,ajudajus/resolvvi,resolvvi.com,Portfolio,2329,4,Portfolio
Banib,https://www.crunchbase.com/organization/banib-stratosphoto-do-brasil-produções-fotográficas,Pre Seed Round - Banib,https://www.crunchbase.com/funding_round/banib-stratosphoto-do-brasil-produções-fotográficas-pre-seed--80b05db5,150000.0,BRL,43825.0,Pre-Seed,"B2B, Construction, Real Estate, Virtual Reality",2018-04-14,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,43825.0,1725000.0,BRL,503988.0,Yes,Banib Conecta is an intuitive platform created in partnership with Samsung where you connect 360º images in a few minutes.,,banib.com,,Seed,1,"Sorocaba, Sao Paulo, Brazil, South America",2018,banib,13923.0,banib,banib.com,Registered,2329,4,Nao tivemos acesso
AgriConnected,https://www.crunchbase.com/organization/agriconnected,Pre Seed Round - AgriConnected,https://www.crunchbase.com/funding_round/agriconnected-pre-seed--4dde5e80,225000.0,BRL,65738.0,Pre-Seed,"Agriculture, AgTech, Artificial Intelligence (AI), Computer, Farming, Information Technology, Internet, Internet of Things, Machine Learning, Software",2018-04-14,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,225000.0,BRL,65737.0,475000.0,BRL,138779.0,Yes,AgriConnected is a startup bringing innovation and technology to transform the Brazilian agribusiness.,,agriconnected.com,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2018,agriconnected,9722.0,agriconnected,agriconnected.com,Discard,2329,4,Indefinido
Progenes,https://www.crunchbase.com/organization/progenes,Pre Seed Round - Progenes,https://www.crunchbase.com/funding_round/progenes-pre-seed--0c6fde68,250000.0,BRL,73042.0,Pre-Seed,"Biotechnology, Fitness, Genetics",2018-04-14,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,250000.0,BRL,73041.0,575000.0,BRL,167996.0,Yes,Progenes is a biotechnology startup that helps users find optimal nutrition and training according to their genetics.,,progenes.com.br,,Seed,1,"Caxias Do Sul, Rio Grande do Sul, Brazil, South America",2018,progenes,7278.0,progenes,progenes.com.br,P.Comitê 01,2329,4,Em análise
NOC,https://www.crunchbase.com/organization/noc,Pre Seed Round - NOC,https://www.crunchbase.com/funding_round/noc-pre-seed--c6967fd1,150000.0,BRL,43825.0,Pre-Seed,"Content, Content Creators, Machine Learning, Marketing, Social Media, Social Media Marketing",2018-04-14,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,43825.0,1725000.0,BRL,503988.0,Yes,NOC is an online content production platform for social networks.,,somosnoc.com,,Seed,2,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2018,noc,3776.0,noc,somosnoc.com,Discard,2329,4,Indefinido
Banib,https://www.crunchbase.com/organization/banib-stratosphoto-do-brasil-produções-fotográficas,Pre Seed Round - Banib,https://www.crunchbase.com/funding_round/banib-stratosphoto-do-brasil-produções-fotográficas-pre-seed--80b05db5,150000.0,BRL,43825.0,Pre-Seed,"B2B, Construction, Real Estate, Virtual Reality",2018-04-14,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,43825.0,1725000.0,BRL,503988.0,Yes,Banib Conecta is an intuitive platform created in partnership with Samsung where you connect 360º images in a few minutes.,,banib.com,,Seed,1,"Sorocaba, Sao Paulo, Brazil, South America",2018,banib,3709.0,banibconecta,banib.com,P.Comitê 02,2329,4,Em análise
Risü,https://www.crunchbase.com/organization/risü,Pre Seed Round - Risü,https://www.crunchbase.com/funding_round/risü-pre-seed--582eefdf,250000.0,BRL,73042.0,Pre-Seed,"E-Commerce, Internet, Non Profit, Shopping",2018-04-14,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,250000.0,BRL,73041.0,575000.0,BRL,167996.0,Yes,Risü is an online platform that links online consumption to donation to social institutions.,,risu.com.br,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2018,risü,277.0,risu,risu.com.br,Discard,2329,4,Indefinido
Doare,https://www.crunchbase.com/organization/doare,Seed Round - Doare,https://www.crunchbase.com/funding_round/doare-seed--13459800,250000.0,BRL,73042.0,Seed,"Crowdfunding, Finance, Internet",2018-04-14,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,250000.0,BRL,73041.0,575000.0,BRL,167996.0,Yes,Doare is an online contribution network and a portal for donations in Brazil.,,doare.org,,Seed,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2018,doare,1470.0,doare,doare.org,Discard,2329,4,Indefinido
Signa Edu,https://www.crunchbase.com/organization/signa-edu,Pre Seed Round - Signa Edu,https://www.crunchbase.com/funding_round/signa-edu-pre-seed--b76bfd5d,225000.0,BRL,65738.0,Pre-Seed,"E-Learning, EdTech, Education",2018-04-14,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,225000.0,BRL,65737.0,475000.0,BRL,138779.0,Yes,Signa Edu prepares deaf people for the job market through a platform of online courses built in Pounds and with subtitles.,,signaedu.com,,Seed,2,"Florianópolis, Santa Catarina, Brazil, South America",2018,signaedu,,,,Nao tivemos acesso,2329,4,Nao tivemos acesso
Resolvvi,https://www.crunchbase.com/organization/resolvvi,Pre Seed Round - Resolvvi,https://www.crunchbase.com/funding_round/resolvvi-pre-seed--41dd4cbd,1250000.0,BRL,311465.0,Pre-Seed,"Advice, B2C, Consulting, Legal, Legal Tech, Logistics",2018-04-14,WOW Aceleradora,WOW Aceleradora,Seed,150000.0,BRL,43825.0,1725000.0,BRL,503988.0,Yes,"Resolvvi helps flight passengers receive compensations for flight delays, cancellations, missed connections, and overbookings.",,resolvvi.com,Less than $1M,,3,"Ceará, Ceara, Brazil, South America",2018,resolvvi,12104.0,resolvvi,resolvvi.com,Registered,2329,4,Nao tivemos acesso
ReduzaCusto.com,https://www.crunchbase.com/organization/reduzacusto-com,Pre Seed Round - ReduzaCusto.com,https://www.crunchbase.com/funding_round/reduzacusto-com-pre-seed--541a1f98,250000.0,BRL,73042.0,Pre-Seed,,2018-04-14,WOW Aceleradora,"Start-Up Brasil, WOW Aceleradora",Seed,250000.0,BRL,73041.0,575000.0,BRL,167996.0,Yes,ReduzaCusto.com provides consultancy and advisory services.,,reduzacusto.com,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America",2018,reduzacusto.com,9786.0,reduzacusto,reduzacusto.com,Opportunity,2329,4,Em análise
MEEmpresta,https://www.crunchbase.com/organization/meempresta,Pre Seed Round - MEEmpresta,https://www.crunchbase.com/funding_round/meempresta-pre-seed--5d003164,1100000.0,BRL,235019.0,Pre-Seed,"Developer Platform, Finance, Financial Services, FinTech, Lending, Peer to Peer",2018-04-16,Cotidiano,Cotidiano,Seed,100000.0,BRL,29241.0,1000000.0,BRL,292410.0,Yes,"MEEmpresta owns and operates an end-to-end lending platform, which enables individuals to lend money to other individuals.",,meempresta.net,,Seed,2,"Caxias Do Sul, Rio Grande do Sul, Brazil, South America",2018,meempresta,11336.0,meempresta,meempresta.net,Discard,2327,4,Indefinido
Me Ajuda Limpeza,https://www.crunchbase.com/organization/me-ajuda-limpeza,Pre Seed Round - Me Ajuda Limpeza,https://www.crunchbase.com/funding_round/me-ajuda-limpeza-pre-seed--ee256219,100000.0,BRL,29241.0,Pre-Seed,Marketplace,2018-04-16,Cotidiano,Cotidiano,Seed,100000.0,BRL,29241.0,1500000.0,BRL,438615.0,Yes,"Me Ajuda Limpeza provides simple platform, dynamics, and safe business intermediation focused on simple pricing cleaning services.",,meajudalimpeza.com.br,,Seed,1,"Salvador, Sao Paulo, Brazil, South America",2018,meajudalimpeza,1046.0,meajudalimpeza,meajudaapp.com.br,Discard,2327,4,Indefinido
WEEL,https://www.crunchbase.com/organization/workcapital,Series A - WEEL,https://www.crunchbase.com/funding_round/workcapital-series-a--cc57af1e,63115041.0,USD,63115041.0,Series A,"Finance, Financial Services, FinTech, Information Technology, Software",2018-04-18,,FJ Labs,Early Stage Venture,,,,,,,Yes,Weel specializes in providing the key to growth for Brazilian SMEs.,,weel.com.br,Less than $1M,M&A,5,"São Paulo, Sao Paulo, Brazil, South America",2018,weel,2318.0,weel(anteriormenteworkcapital),weel.com.br,Discard,2325,4,Nao tivemos acesso
Reprodez,https://www.crunchbase.com/organization/reprodez,Pre Seed Round - Reprodez,https://www.crunchbase.com/funding_round/reprodez-pre-seed--1af34871,50000.0,BRL,14651.0,Pre-Seed,"Agriculture, AgTech, Livestock, Management Information Systems, Software",2018-04-20,WOW Aceleradora,WOW Aceleradora,Seed,50000.0,BRL,14651.0,664285.0,BRL,194650.0,Yes,"Reprodez is a livestock management system that enables cattle ranchers, technicians, and veterinarians to control daily activities.",,reprodez.com.br,$1M to $10M,Seed,1,"Uberlândia, Minas Gerais, Brazil, South America",2018,reprodez,,,,Nao tivemos acesso,2323,4,Nao tivemos acesso
Hashdex,https://www.crunchbase.com/organization/hashdex,Seed Round - Hashdex,https://www.crunchbase.com/funding_round/hashdex-seed--6894111d,135000000.0,BRL,25451529.0,Seed,"Asset Management, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology",2018-04-24,,"Canary, Graph Ventures, Jeremie Corcos, Mauricio Feldman, Outlier Ventures, Rafael Larragoiti Lucas, Social Capital",Seed,,,,,,,Yes,Hashdex exists to bridge digital assets world and traditional markets unlocking the blockchain potential to mainstream investors.,,hashdex.com,$10M to $50M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2018,hashdex,18445.0,hashdex,hashdex.com.br,Discard,2319,4,Nao tivemos acesso
Flowup,https://www.crunchbase.com/organization/flowup,Non Equity Assistance - Flowup,https://www.crunchbase.com/funding_round/flowup-non-equity-assistance--bb707fd2,720000.0,BRL,206517.0,Non-equity Assistance,"Management Information Systems, Project Management, SaaS, Service Industry, Software",2018-04-25,,"FACEPE, The Jump Brazil",,680000.0,BRL,195161.0,,,,No,Flowup provides management solutions for project-based organizations.,,flowup.me,Less than $1M,Seed,2,"Pernambuco, Pernambuco, Brazil, South America",2018,flowup,10603.0,flowup,flowup.me,P.Comitê 01,2318,4,Em análise
EmCasa,https://www.crunchbase.com/organization/emcasa,Seed Round - EmCasa,https://www.crunchbase.com/funding_round/emcasa-seed--2754fe36,32100000.0,USD,32100000.0,Seed,"E-Commerce, Marketplace, Real Estate",2018-04-30,Pear VC,"Brian Requarth, Canary, Dorm Room Fund, Flybridge, Pear VC, The Graduate Syndicate",Seed,1000000.0,USD,1000000.0,,,,Yes,EmCasa is a transactional marketplace that helps people buy and sell a home with top technology and unrelentless customer focus,,EmCasa.com,$1M to $10M,Early Stage Venture,5,"Rio, Rio de Janeiro, Brazil, South America",2018,emcasa,2781.0,emcasa,emcasa.com,Discard,2313,4,Nao tivemos acesso
License Solutions,https://www.crunchbase.com/organization/license-solutions,Pre Seed Round - License Solutions,https://www.crunchbase.com/funding_round/license-solutions-pre-seed--49bb8727,,USD,,Pre-Seed,Health Care,2018-05-01,,Darwin Startups,Seed,,,,,,,Yes,License Solutions is a brand licensing agency that offers licensing as a service.,,licensesolutions.com.br,,Seed,2,"São José, Santa Catarina, Brazil, South America",2018,licensesolutions,9691.0,licensesolutions,licensesolutions.com.br,Discard,2312,5,Pendente Classificação
EasyJur,https://www.crunchbase.com/organization/easyjur,Pre Seed Round - EasyJur,https://www.crunchbase.com/funding_round/easyjur-pre-seed--1ccedf1e,3500000.0,USD,3500000.0,Pre-Seed,"Legal, Legal Tech, Software",2018-05-01,,Darwin Startups,Seed,,,,,,,Yes,EasyJur develops solutions using robots and a reliable algorithm.,,easyjur.com,$1M to $10M,,5,"Uberaba, Mato Grosso, Brazil, South America",2018,easyjur,3412.0,easyjur,easyjur.com,Discard,2312,5,Pendente Classificação
CustomerX,https://www.crunchbase.com/organization/customerx,Angel Round - CustomerX,https://www.crunchbase.com/funding_round/customerx-angel--e371748e,1670000.0,BRL,327790.0,Angel,"Customer Service, SaaS, Software",2018-05-01,,Darwin Startups,Seed,170000.0,BRL,48466.0,,,,Yes,CustomerX is a customer success management platform for small and medium business.,,customerx.cx,$1M to $10M,Seed,2,"Toledo, Parana, Brazil, South America",2018,customerx,2812.0,customerx,customerx.cx,Onboarding,2312,5,Pendente Classificação
