Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
Yuca,"$14,700,000",Series A,Discard,Não tivemos acesso,,
Lemon Energy,"$14,563,813",Series A,Discard,Não tivemos acesso,,
Grão Direto,"$14,332,541",Series A,Cadastro Startup,Não tivemos acesso,,
Gabriel,"$13,900,000",Series A,Discard,Não tivemos acesso,,
AEVO Innovate,"$13,600,000",Series A,Discard,Não tivemos acesso,,
CondoConta,"$13,518,970",Series A,Discard,Falso Negativo,,
Moss.Earth,"$13,400,000",Series A,Discard,Não tivemos acesso,,
Mercê do Bairro,"$13,100,000",Series A,Portfolio,,,
senhasegura,"$13,000,000",Series A,Discard,Falso Negativo,,
The Coffee,"$12,950,000",Series A,Discard,Não tivemos acesso,,
Nilo Saúde,"$12,900,000",Series A,Discard,Não tivemos acesso,,
ViBe Saúde,"$12,500,000",Series A,,Não tivemos acesso,,
Praso,"$12,500,000",Series A,Discard,Não se aplica,,
EBAC Online,"$12,500,000",Series A,,Não tivemos acesso,,
Knewin,"$12,220,708",Series A,Discard,Não tivemos acesso,,
Dolado,"$12,200,000",Series A,Discard,Não se aplica,,
Bornlogic,"$12,137,249",Series A,Discard,Não se aplica,,
Exten,"$12,000,000",Series A,,Não tivemos acesso,,
Sanar,"$11,500,000",Series A,Registered,Não tivemos acesso,,
Mooh Tech Desenvolvimento de Softwares,"$11,000,000",Series A,Discard,Indefinido,,
Housi,"$11,000,000",Series A,Registered,Não tivemos acesso,,
Accountfy,"$11,000,000",Series A,Registered,Não tivemos acesso,,
LogComex,"$10,883,294",Series A,Discard,Dúvida,,
Salux,"$10,804,221",Series A,Cadastro Startup,Não tivemos acesso,,
Hubla,"$10,778,381",Series A,Registered,Não tivemos acesso,,
DR.CASH,"$10,738,386",Series A,Discard,Lost to another players,,
Tenchi Security,"$10,300,000",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Aracar Group,"$10,220,000",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Flapper Technologies,"$10,011,561",Series A,Discard,Indefinido,,
BeerOrCoffee,"$10,000,000",Series A,Discard,Dúvida,,
Intergado,"$10,000,000",Series A,,Não tivemos acesso,,
