,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
0,.comDominio,,Venture - Series Unknown,"Information Technology, Internet, ISP",2004-02-12,,Stratus Group,,,,Yes,.comDominio is a Brazil-based company that offers its users with a wide range of internet-based services.,http://www.comdominio.com.br,,,1,"Brazilia, Minas Gerais, Brazil, South America",2004,
1,00K E-Commerce Tools,,Convertible Note,"E-Commerce, Information Services, Marketing, Online Portals, Software",2015-08-01,,Mercado Libre Fund,,,,No,00K develops e-commerce solutions for online platforms.,http://www.00k.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
3,100 Open Startups,1468348.0,Seed,Information Technology,2020-08-01,100 Open Angels,100 Open Angels,Seed,957368.0,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,761.0
4,100 Open Startups,1468348.0,Seed,Information Technology,2020-08-01,100 Open Angels,Bossanova Investimentos,Seed,957368.0,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,761.0
5,100 Open Startups,1468348.0,Seed,Information Technology,2020-08-01,100 Open Angels,DOMO.VC,Seed,957368.0,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2020,761.0
9,123Hotel,48237.0,Pre-Seed,"Apps, Hotel, Mobile Apps",2019-12-10,WOW Aceleradora,WOW Aceleradora,Seed,48236.0,602961.0,Yes,123Hotel is a mobile application that allows users to book a hotel room fast and easy.,https://www.123hotel.com.br/,,Seed,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2019,
10,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,BR Angels,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
11,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,Gvangels,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
12,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,Hangar 8 Capital,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
13,123Projetei,777529.0,Venture - Series Unknown,"Construction, Home Decor, Home Services, Interior Design, Real Estate",2022-11-08,Investidores.VC,Investidores.VC,,777529.0,,Yes,123Projetei specializes in real estate solutions.,http://www.123projetei.com.br/,,,1,"Rio Grande, Rio de Janeiro, Brazil, South America",2022,
14,123Reformei,,Seed,"Home Improvement, Home Services, Residential",2015-07-31,,Redpoint eventures,Seed,,,Yes,123Reformei offers free architecture and reliable workforce that ensures the contract of the execution and delivery of a renovation.,http://www.123reformei.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
15,12min,,Non-equity Assistance,"Apps, Content, E-Learning",2016-07-01,Google for Startups,Google for Startups,,,,No,12minutos draws the best ideas from the non-fiction bestsellers in readings for only 12 minutes.,https://12min.com/,$1M to $10M,,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2016,
16,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",8VC,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
17,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",Canary,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
18,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",Dragoneer Investment Group,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
19,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",Norte Ventures,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
20,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",Quartz,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
21,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",Rainfall Ventures,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
22,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-05-05,"Canary, Dragoneer Investment Group, Rainfall Ventures",Sun Moritz,Seed,8218154.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
23,180° Insurance,39618155.0,Seed,"Financial Services, FinTech, Insurance, InsurTech",2021-09-18,,Rafael Duton,Seed,,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,136.0
24,180° Insurance,39618155.0,Series A,"Financial Services, FinTech, Insurance, InsurTech",2022-02-02,8VC,8VC,Early Stage Venture,31400000.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,137.0
25,180° Insurance,39618155.0,Series A,"Financial Services, FinTech, Insurance, InsurTech",2022-02-02,8VC,Atlantico,Early Stage Venture,31400000.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,137.0
26,180° Insurance,39618155.0,Series A,"Financial Services, FinTech, Insurance, InsurTech",2022-02-02,8VC,Dragoneer Investment Group,Early Stage Venture,31400000.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,137.0
27,180° Insurance,39618155.0,Series A,"Financial Services, FinTech, Insurance, InsurTech",2022-02-02,8VC,monashees,Early Stage Venture,31400000.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,137.0
28,180° Insurance,39618155.0,Series A,"Financial Services, FinTech, Insurance, InsurTech",2022-02-02,8VC,Norte Ventures,Early Stage Venture,31400000.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,137.0
29,180° Insurance,39618155.0,Series A,"Financial Services, FinTech, Insurance, InsurTech",2022-02-02,8VC,Quartz,Early Stage Venture,31400000.0,,Yes,180° is an InsurTech company that provides an insurance-as-a-service business model.,http://www.180s.com.br,$10M to $50M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,137.0
30,1Bi Foundation,,Grant,Non Profit,2022-01-01,,Imaginable Futures,,,,No,1Bi Foundation is a social institution that uses digital technology to impact and improve people's lives.,https://www.fundacao1bi.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
33,1SS BANK,,Seed,"Finance, Financial Services, FinTech",2023-03-08,Darwin Startups,Darwin Startups,Seed,,,Yes,1SS BANK is a fintech company that helps businesses to add financial services to their ecosystems and optimize internal flows.,https://www.1ssbank.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
34,1m2,,Seed,"Information Technology, Mobile Apps, Property Management, Real Estate, Real Estate Brokerage, Software",2018-05-18,,Canary,Seed,,,Yes,1m2 provides a technology-powered residential real estate brokerage focused on land lots.,https://www.1m2.com.br/,,M&A,1,"São Paulo, Sao Paulo, Brazil, South America",2018,
35,20APY,30000.0,Non-equity Assistance,"Blockchain, Credit, Cryptocurrency, Financial Services, FinTech, Payments, Personal Finance, Smart Contracts, Web3",2024-07-25,,Google for Startups,,25000.0,,No,"High-yield investments, zero-interest credit.",https://www.20apy.com,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,
36,220 Capital,,Funding Round,"Financial Services, Impact Investing, Small and Medium Businesses",2019-01-01,,Partner Ventures,,,,Yes,220 Capital is an investment fund that invests in small and medium businesses.,http://www.220capital.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America",2019,
38,2Metric,,Pre-Seed,"Internet of Things, Real Time, Software",2020-02-01,HARDS,HARDS,Seed,,,Yes,IoT Technology to monitor soil and subterranean water in high potential pollution places such as industries and gas stations.,https://2metric.com.br/,,Seed,2,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2020,
39,2Metric,,Angel,"Internet of Things, Real Time, Software",2020-11-12,,WOW Aceleradora,Seed,,,Yes,IoT Technology to monitor soil and subterranean water in high potential pollution places such as industries and gas stations.,https://2metric.com.br/,,Seed,2,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2020,285.0
40,2Pcom,,Non-equity Assistance,"Consulting, Digital Marketing, Employment, Social Media Marketing, Software",2018-07-01,Google for Startups,Google for Startups,,,,No,2Pcom is a communications platform that connects peripheral businesses to freelance professionals through it communication solutions.,https://www.2pcom.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America",2018,
41,2TM,250300000.0,Series A,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-01-21,"GP Investments, Parallax Ventures",G2D Investments,Early Stage Venture,,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,
42,2TM,250300000.0,Series A,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-01-21,"GP Investments, Parallax Ventures",GP Investments,Early Stage Venture,,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,
43,2TM,250300000.0,Series A,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-01-21,"GP Investments, Parallax Ventures",Parallax Ventures,Early Stage Venture,,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,
44,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-07-01,SOFTBANK Latin America Ventures,SOFTBANK Latin America Ventures,Early Stage Venture,200000000.0,1900000000.0,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,161.0
45,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,10T Holdings,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
46,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,Endeavor,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
47,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,PIPO Capital,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
48,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,Sand Hill Angels,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
49,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,Scale-Up Ventures,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
50,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,TradersClub,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
51,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,Tribe Capital,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
52,2TM,250300000.0,Series B,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2021-11-30,,True Capital Management,Early Stage Venture,50300000.0,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2021,152.0
53,2TM,250300000.0,Corporate Round,"Asset Management, Bitcoin, Blockchain, Financial Services, FinTech",2022-01-20,MercadoLibre,MercadoLibre,,,,Yes,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",https://www.2tmgroup.com/,$100M to $500M,,4,"Brasil, Sao Paulo, Brazil, South America",2022,51.0
55,2morrow Sports,300000.0,Pre-Seed,"Business Intelligence, CRM, Sports",2020-10-10,OutField Capital,OutField Capital,Seed,300000.0,,Yes,2morrow Sports is a technology startup focused on the engagement and study of fan behavior indicators in the sport.,http://www.2morrowsports.com.br,,Seed,1,"Ribeirão, Sao Paulo, Brazil, South America",2020,
56,"3,2,1 Beauty",,Venture - Series Unknown,"Beauty, Customer Service",2020-03-01,,Igah Ventures,,,,Yes,"3,2,1 Beauty provides beauty services in offices, condos, and street salons.",https://321beauty.com.br,$1M to $10M,,1,"São Paulo, Sao Paulo, Brazil, South America",2020,
57,33e34 Shoes,752455.0,Pre-Seed,"E-Commerce, Fashion, Internet, Retail",2016-09-13,,Bossanova Investimentos,Seed,453670.0,,Yes,"33e34 Shoes is a Brazilian startup that offers the best selection in shoes in terms of brands, styles and colors.",http://www.33e34.com.br/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2016,
58,33e34 Shoes,752455.0,Seed,"E-Commerce, Fashion, Internet, Retail",2016-12-12,,Bossanova Investimentos,Seed,298783.0,,Yes,"33e34 Shoes is a Brazilian startup that offers the best selection in shoes in terms of brands, styles and colors.",http://www.33e34.com.br/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2016,90.0
59,3778,36159944.0,Venture - Series Unknown,"Data Visualization, Health Care, Software",2021-02-25,,LTS Investments,,36159944.0,,Yes,3778 is a technology company that works in the health care sector.,https://3778.care/,,,1,"Minas Gerais, Acre, Brazil, South America",2021,
60,3778,36159944.0,Venture - Series Unknown,"Data Visualization, Health Care, Software",2021-02-25,,Randal Zanetti,,36159944.0,,Yes,3778 is a technology company that works in the health care sector.,https://3778.care/,,,1,"Minas Gerais, Acre, Brazil, South America",2021,
61,3778,36159944.0,Venture - Series Unknown,"Data Visualization, Health Care, Software",2021-02-25,,UV Gestora de Investimentos,,36159944.0,,Yes,3778 is a technology company that works in the health care sector.,https://3778.care/,,,1,"Minas Gerais, Acre, Brazil, South America",2021,
62,3Cariocas,517719.0,Equity Crowdfunding,"Food and Beverage, Internet",2018-06-28,EqSeed,EqSeed,,517719.0,,Yes,"3Cariocas is a bold and creative artisan brewery, aiming to break society's paradigms through unique beers and moments.",http://3cariocas.rio/en/home,,,1,"Botafogo, Rio de Janeiro, Brazil, South America",2018,
65,4 Hábitos Para Mudar o Mundo,,Seed,"Environmental Consulting, Recycling, Waste Management",2022-05-24,,Bossanova Investimentos,Seed,,,Yes,4 Habitos Para Mudar o Mundo is an environmental services company that transforms waste management into ESG indicators.,http://4habitos.com.br,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America",2022,
66,4.events,212683.0,Seed,"Event Management, Event Promotion, Events, Reservations, Ticketing",2021-03-01,,CapTable,Seed,212682.0,886179.0,Yes,Plataforma de eventos mais completa e inovadora do mercado,https://www.4.events/,,Seed,1,"Indaiatuba, Sao Paulo, Brazil, South America",2021,
67,4KST - Unlimited Vision,270174.0,Pre-Seed,"Artificial Intelligence (AI), Information Technology, Machine Learning",2020-03-06,FINEP,FINEP,Seed,270173.0,2161391.0,Yes,"We build Predictive Models with adaptive and incremental machine learning algorithms, offered as a Service’ (MLaaS).",http://www.4kst.com,,Seed,1,"Curitiba, Parana, Brazil, South America",2020,
68,4MDG,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2021-12-20,Metaventures,Metaventures,,174131.0,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",https://www.4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
69,4MDG,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2024-02-16,BR Angels,BR Angels,,765033.0,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",https://www.4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,788.0
70,4MDG,939165.0,Venture - Series Unknown,"Consulting, Data Management, Enterprise Resource Planning (ERP), Information Technology",2024-02-16,BR Angels,Darwin Startups,,765033.0,,Yes,"4MDG provides data management services for the registration portal, retail technology, and customer registration.",https://www.4mdg.com.br/#b891,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,788.0
71,4Matt Tecnologia,,Angel,"Business Intelligence, Enterprise Software, Information Technology, IT Management",2019-07-01,,Bruno Ferreira Costa,Seed,,,Yes,Intelligent IT Spend Management - Single source of information about IT spending,http://www.4matt.com.br/,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2019,
72,4Matt Tecnologia,,Angel,"Business Intelligence, Enterprise Software, Information Technology, IT Management",2019-07-01,,Marcelo Theophilo,Seed,,,Yes,Intelligent IT Spend Management - Single source of information about IT spending,http://www.4matt.com.br/,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2019,
73,4Student,,Pre-Seed,"Real Estate, Rental Property, Residential",2020-02-10,,Bossanova Investimentos,Seed,,,Yes,4Student is the first student platform that engages in providing experiences and connections for students.,https://www.4student.com.br/,$1M to $10M,,2,"São Paulo, Sao Paulo, Brazil, South America",2020,
74,4Student,,Venture - Series Unknown,"Real Estate, Rental Property, Residential",2022-02-25,,Bossanova Investimentos,,,,Yes,4Student is the first student platform that engages in providing experiences and connections for students.,https://www.4student.com.br/,$1M to $10M,,2,"São Paulo, Sao Paulo, Brazil, South America",2022,746.0
75,4intelligence,5000000.0,Seed,"Information Technology, Software",2020-04-01,Banco Bradesco,Airborne Ventures,Seed,2000000.0,,Yes,4intelligence develops B2B competitive intelligence platforms to support strategic and tactical decision making.,https://4intelligence.com.br/mvpe/,,Early Stage Venture,3,"Santa Rita Do Sapucaí, Minas Gerais, Brazil, South America",2020,
76,4intelligence,5000000.0,Seed,"Information Technology, Software",2020-04-01,Banco Bradesco,Banco Bradesco,Seed,2000000.0,,Yes,4intelligence develops B2B competitive intelligence platforms to support strategic and tactical decision making.,https://4intelligence.com.br/mvpe/,,Early Stage Venture,3,"Santa Rita Do Sapucaí, Minas Gerais, Brazil, South America",2020,
77,4intelligence,5000000.0,Pre-Seed,"Information Technology, Software",2020-04-01,Banco Bradesco,Banco Bradesco,Seed,1000000.0,,Yes,4intelligence develops B2B competitive intelligence platforms to support strategic and tactical decision making.,https://4intelligence.com.br/mvpe/,,Early Stage Venture,3,"Santa Rita Do Sapucaí, Minas Gerais, Brazil, South America",2020,0.0
78,4intelligence,5000000.0,Series A,"Information Technology, Software",2021-06-22,,Airborne Ventures,Early Stage Venture,2000000.0,,Yes,4intelligence develops B2B competitive intelligence platforms to support strategic and tactical decision making.,https://4intelligence.com.br/mvpe/,,Early Stage Venture,3,"Santa Rita Do Sapucaí, Minas Gerais, Brazil, South America",2021,447.0
79,4vets,,Seed,"Developer Platform, Internet, Online Portals, Pet, Retail, Retail Technology, Veterinary",2013-08-29,,Igah Ventures,Seed,,,Yes,4vets offers applied technology in the distribution and retail network of veterinary and animal health products.,https://www.grupo4vets.com.br,,Seed,4,"Brasil, Sao Paulo, Brazil, South America",2013,
80,4vets,,Seed,"Developer Platform, Internet, Online Portals, Pet, Retail, Retail Technology, Veterinary",2015-01-01,Rigi Ventures,Rigi Ventures,Seed,,,Yes,4vets offers applied technology in the distribution and retail network of veterinary and animal health products.,https://www.grupo4vets.com.br,,Seed,4,"Brasil, Sao Paulo, Brazil, South America",2015,490.0
81,4vets,,Venture - Series Unknown,"Developer Platform, Internet, Online Portals, Pet, Retail, Retail Technology, Veterinary",2016-08-01,,GWC Innovator Fund,,,,Yes,4vets offers applied technology in the distribution and retail network of veterinary and animal health products.,https://www.grupo4vets.com.br,,Seed,4,"Brasil, Sao Paulo, Brazil, South America",2016,578.0
82,4vets,,Pre-Seed,"Developer Platform, Internet, Online Portals, Pet, Retail, Retail Technology, Veterinary",2016-10-10,,Bossanova Investimentos,Seed,,,Yes,4vets offers applied technology in the distribution and retail network of veterinary and animal health products.,https://www.grupo4vets.com.br,,Seed,4,"Brasil, Sao Paulo, Brazil, South America",2016,70.0
83,55social,13000000.0,Seed,"Marketing, Social Media, Software",2011-01-01,,FJ Labs,Seed,,,Yes,55social is a content optimization platform for social networks that helps brands manage their social media and analyze their results.,http://55social.com,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2011,
84,55social,13000000.0,Seed,"Marketing, Social Media, Software",2011-11-01,,Headline,Seed,3000000.0,,Yes,55social is a content optimization platform for social networks that helps brands manage their social media and analyze their results.,http://55social.com,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2011,304.0
85,55social,13000000.0,Seed,"Marketing, Social Media, Software",2011-11-01,,IG Expansion,Seed,3000000.0,,Yes,55social is a content optimization platform for social networks that helps brands manage their social media and analyze their results.,http://55social.com,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2011,304.0
86,55social,13000000.0,Seed,"Marketing, Social Media, Software",2011-11-01,,Redpoint,Seed,3000000.0,,Yes,55social is a content optimization platform for social networks that helps brands manage their social media and analyze their results.,http://55social.com,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2011,304.0
87,55social,13000000.0,Series B,"Marketing, Social Media, Software",2012-11-01,Redpoint eventures,Redpoint eventures,Early Stage Venture,10000000.0,,Yes,55social is a content optimization platform for social networks that helps brands manage their social media and analyze their results.,http://55social.com,$1M to $10M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,366.0
88,6Place,1746045.0,Seed,"Online Portals, Trading Platform",2022-05-30,,Bertha Capital,Seed,1746045.0,,Yes,6place is a digital purchasing and supply platform helping food franchises and service chains.,https://www.6place.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
89,77 Sol,2682249.0,Venture - Series Unknown,"Renewable Energy, Solar, Wind Energy",2023-02-15,,Crescera Capital,,2682249.0,,Yes,77 Sol is a business intelligence company that offers solar energy equipment and financing services.,https://77sol.com.br,$1M to $10M,,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
90,77 Sol,2682249.0,Venture - Series Unknown,"Renewable Energy, Solar, Wind Energy",2023-02-15,,EDP Ventures,,2682249.0,,Yes,77 Sol is a business intelligence company that offers solar energy equipment and financing services.,https://77sol.com.br,$1M to $10M,,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
91,789 Trip,,Seed,"Business Travel, Hotel, Tourism, Travel, Travel Accommodations",2017-01-10,ACE Ventures,ACE Ventures,Seed,,,Yes,The first travel agency exclusive for paying members to sell travel at net price. Save up to 30% on your trip.,http://www.789trip.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2017,
92,789 Trip,,Seed,"Business Travel, Hotel, Tourism, Travel, Travel Accommodations",2017-01-10,ACE Ventures,Bossanova Investimentos,Seed,,,Yes,The first travel agency exclusive for paying members to sell travel at net price. Save up to 30% on your trip.,http://www.789trip.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2017,
93,7waves,226803.0,Pre-Seed,"Artificial Intelligence (AI), Education, Human Resources, Mobile Apps, Wellness",2019-02-15,Marcelo Nobrega,Marcelo Nobrega,Seed,40514.0,1080380.0,Yes,7waves is a platform that helps people to reduce the procrastination of life projects,https://www.7waves.me/,,Seed,2,"Sorocaba, Sao Paulo, Brazil, South America",2019,
94,7waves,226803.0,Pre-Seed,"Artificial Intelligence (AI), Education, Human Resources, Mobile Apps, Wellness",2020-06-01,DOMO.VC,100 Open Angels,Seed,186289.0,2794336.0,Yes,7waves is a platform that helps people to reduce the procrastination of life projects,https://www.7waves.me/,,Seed,2,"Sorocaba, Sao Paulo, Brazil, South America",2020,472.0
95,7waves,226803.0,Pre-Seed,"Artificial Intelligence (AI), Education, Human Resources, Mobile Apps, Wellness",2020-06-01,DOMO.VC,DOMO.VC,Seed,186289.0,2794336.0,Yes,7waves is a platform that helps people to reduce the procrastination of life projects,https://www.7waves.me/,,Seed,2,"Sorocaba, Sao Paulo, Brazil, South America",2020,472.0
