,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
8517,Priced,2500000.0,Seed,"Advertising, Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology",2015-09-01,,Graph Ventures,Seed,500000.0,,Yes,Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,http://www.priced.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
8518,Priced,2500000.0,Seed,"Advertising, Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology",2015-09-01,,João Ventura,Seed,500000.0,,Yes,Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,http://www.priced.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
8519,Priced,2500000.0,Seed,"Advertising, Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology",2015-09-01,,Julio Vasconcellos,Seed,500000.0,,Yes,Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,http://www.priced.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
8520,Priced,2500000.0,Seed,"Advertising, Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology",2015-09-01,,Marcelo Sampaio,Seed,500000.0,,Yes,Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,http://www.priced.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
8521,Priced,2500000.0,Seed,"Advertising, Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology",2015-09-01,,Mauricio Feldman,Seed,500000.0,,Yes,Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,http://www.priced.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
8522,Priced,2500000.0,Seed,"Advertising, Analytics, Big Data, Fast-Moving Consumer Goods, Retail Technology",2015-09-01,,Social Capital,Seed,500000.0,,Yes,Priced uses data science to generate consumer & market insights and help translate those findings into concrete business intelligence.,http://www.priced.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2015,
8524,Prime You,10000000.0,Series D,"Air Transportation, Automotive, Facilities Support Services, Marine Transportation",2021-10-21,Nelson Tanure,Nelson Tanure,Late Stage Venture,10000000.0,90000000.0,Yes,"Prime You offers shared jets, helicopters, yachts, real estate and sports cars.",http://www.primeyou.com.br/,$1M to $10M,Late Stage Venture,1,"Barueri, Sao Paulo, Brazil, South America",2021,
8525,Principia,45619207.0,Seed,"EdTech, Financial Services, FinTech, Information Technology",2022-03-01,,Global Founders Capital,Seed,4650712.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,
8526,Principia,45619207.0,Seed,"EdTech, Financial Services, FinTech, Information Technology",2022-03-01,,Supera Capital,Seed,4650712.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,
8527,Principia,45619207.0,Seed,"EdTech, Financial Services, FinTech, Information Technology",2022-03-01,,Valor Capital Group,Seed,4650712.0,,Yes,Financial Solutions Hub for Education,https://principia.net/,,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2022,
